frame.time_epoch,ip.src,ip.dst,udp.srcport,udp.dstport,udp.length,coap.code,coap.type,coap.mid,coap.token,coap.opt.uri_path_recon
1551359833.703068206,192.168.10.104,192.168.10.102,5683,57260,12,0,2,33660,,
1551359833.703364730,192.168.10.102,192.168.10.105,49085,5683,12,69,0,30877,,
1551359833.703879111,192.168.10.105,192.168.10.102,5683,49085,12,0,2,30877,,
1551359833.704296200,192.168.10.105,192.168.10.102,48031,5683,37,3,0,62205,,/floor_1_light
1551359833.704413897,192.168.10.102,192.168.10.105,5683,48031,12,133,2,62205,,
1551359833.704712158,192.168.10.102,192.168.10.104,57785,5683,12,69,0,3055,,
1551359833.705119130,192.168.10.104,192.168.10.102,5683,57785,12,0,2,3055,,
1551359833.705423955,192.168.10.102,192.168.10.105,42286,5683,12,69,0,33977,,
1551359833.705780012,192.168.10.105,192.168.10.102,5683,42286,12,0,2,33977,,
1551359833.706341028,192.168.10.105,192.168.10.102,44157,5683,38,3,0,59590,,/floor_1_light
1551359833.706436947,192.168.10.102,192.168.10.105,5683,44157,12,133,2,59590,,
1551359833.706688469,192.168.10.102,192.168.10.104,35900,5683,12,69,0,30063,,
1551359833.707051481,192.168.10.104,192.168.10.102,5683,35900,12,0,2,30063,,
1551359833.707286368,192.168.10.102,192.168.10.105,38052,5683,12,69,0,34242,,
1551359833.707469596,192.168.10.105,192.168.10.102,5683,38052,12,0,2,34242,,
1551359834.709340205,192.168.10.102,192.168.10.104,34864,5683,12,69,0,30761,,
1551359834.709836649,192.168.10.104,192.168.10.102,5683,34864,12,0,2,30761,,
1551359834.710580081,192.168.10.102,192.168.10.105,52488,5683,12,69,0,2543,,
1551359834.711063942,192.168.10.105,192.168.10.102,5683,52488,12,0,2,2543,,
1551359835.713096476,192.168.10.102,192.168.10.104,46108,5683,12,69,0,13460,,
1551359835.713577553,192.168.10.104,192.168.10.102,5683,46108,12,0,2,13460,,
1551359835.714482869,192.168.10.102,192.168.10.105,39327,5683,12,69,0,28723,,
1551359835.714607996,192.168.10.104,192.168.10.102,48639,5683,29,3,0,17187,,/floor_1_temp
1551359835.715005407,192.168.10.105,192.168.10.102,5683,39327,12,0,2,28723,,
1551359835.715214389,192.168.10.102,192.168.10.104,5683,48639,12,68,2,17187,,
1551359835.715931403,192.168.10.102,192.168.10.104,57865,5683,12,69,0,20215,,
1551359835.716310788,192.168.10.104,192.168.10.102,5683,57865,12,0,2,20215,,
1551359835.716987364,192.168.10.102,192.168.10.105,53451,5683,12,69,0,10216,,
1551359835.717256746,192.168.10.105,192.168.10.102,5683,53451,12,0,2,10216,,
1551359836.718541325,192.168.10.102,192.168.10.104,47476,5683,12,69,0,41166,,
1551359836.718783842,192.168.10.104,192.168.10.102,5683,47476,12,0,2,41166,,
1551359836.719106561,192.168.10.102,192.168.10.105,42017,5683,12,69,0,2554,,
1551359836.719330099,192.168.10.105,192.168.10.102,5683,42017,12,0,2,2554,,
1551359837.721088941,192.168.10.102,192.168.10.104,54758,5683,12,69,0,40671,,
1551359837.721577753,192.168.10.104,192.168.10.102,5683,54758,12,0,2,40671,,
1551359837.722179625,192.168.10.102,192.168.10.105,43202,5683,12,69,0,42358,,
1551359837.722621950,192.168.10.105,192.168.10.102,5683,43202,12,0,2,42358,,
1551359838.724544599,192.168.10.102,192.168.10.104,43259,5683,12,69,0,60460,,
1551359838.725025901,192.168.10.104,192.168.10.102,5683,43259,12,0,2,60460,,
1551359838.725769148,192.168.10.102,192.168.10.105,47115,5683,12,69,0,29800,,
1551359838.726258056,192.168.10.105,192.168.10.102,5683,47115,12,0,2,29800,,
1551359839.728236163,192.168.10.102,192.168.10.104,49945,5683,12,69,0,35125,,
1551359839.728805998,192.168.10.104,192.168.10.102,5683,49945,12,0,2,35125,,
1551359839.729588868,192.168.10.102,192.168.10.105,36600,5683,12,69,0,7833,,
1551359839.730088512,192.168.10.105,192.168.10.102,5683,36600,12,0,2,7833,,
1551359840.731596048,192.168.10.102,192.168.10.104,41671,5683,12,69,0,8625,,
1551359840.731887785,192.168.10.104,192.168.10.102,5683,41671,12,0,2,8625,,
1551359840.732219917,192.168.10.102,192.168.10.105,41827,5683,12,69,0,11135,,
1551359840.732638815,192.168.10.105,192.168.10.102,5683,41827,12,0,2,11135,,
1551359841.734149162,192.168.10.102,192.168.10.104,39138,5683,12,69,0,61595,,
1551359841.734446878,192.168.10.105,192.168.10.102,42652,5683,37,3,0,10092,,/floor_1_light
1551359841.734497942,192.168.10.104,192.168.10.102,5683,39138,12,0,2,61595,,
1551359841.734944812,192.168.10.102,192.168.10.105,38073,5683,12,69,0,22987,,
1551359842.735932693,192.168.10.102,192.168.10.105,5683,42652,12,133,2,10092,,
1551359842.736815342,192.168.10.105,192.168.10.102,5683,38073,12,0,2,22987,,
1551359842.737026202,192.168.10.102,192.168.10.104,51611,5683,12,69,0,26015,,
1551359842.737601230,192.168.10.104,192.168.10.102,5683,51611,12,0,2,26015,,
1551359842.737875133,192.168.10.105,192.168.10.102,47493,5683,38,3,0,25604,,/floor_1_light
1551359842.738417251,192.168.10.102,192.168.10.105,51206,5683,12,69,0,48423,,
1551359843.739054857,192.168.10.104,192.168.10.102,51613,5683,29,3,0,62005,,/floor_1_temp
1551359843.739739410,192.168.10.102,192.168.10.105,5683,47493,12,133,2,25604,,
1551359843.739834817,192.168.10.105,192.168.10.102,5683,51206,12,0,2,48423,,
1551359843.740158148,192.168.10.102,192.168.10.104,45165,5683,12,69,0,19748,,
1551359844.741181331,192.168.10.104,192.168.10.102,5683,45165,12,0,2,19748,,
1551359844.741519935,192.168.10.102,192.168.10.105,56646,5683,12,69,0,28456,,
1551359844.742604040,192.168.10.105,192.168.10.102,5683,56646,12,0,2,28456,,
1551359844.742765479,192.168.10.102,192.168.10.104,5683,51613,12,68,2,62005,,
1551359844.743104030,192.168.10.102,192.168.10.104,50252,5683,12,69,0,50247,,
1551359844.743477962,192.168.10.104,192.168.10.102,5683,50252,12,0,2,50247,,
1551359844.743911168,192.168.10.102,192.168.10.105,49575,5683,12,69,0,55266,,
1551359844.744173255,192.168.10.105,192.168.10.102,5683,49575,12,0,2,55266,,
1551359845.745461936,192.168.10.102,192.168.10.104,51173,5683,12,69,0,17442,,
1551359845.745783337,192.168.10.104,192.168.10.102,5683,51173,12,0,2,17442,,
1551359845.746108350,192.168.10.102,192.168.10.105,53147,5683,12,69,0,19517,,
1551359845.746749102,192.168.10.105,192.168.10.102,5683,53147,12,0,2,19517,,
1551359846.747518230,192.168.10.102,192.168.10.104,58438,5683,12,69,0,33331,,
1551359846.747981573,192.168.10.104,192.168.10.102,5683,58438,12,0,2,33331,,
1551359846.748637492,192.168.10.102,192.168.10.105,54542,5683,12,69,0,35373,,
1551359846.748982088,192.168.10.105,192.168.10.102,5683,54542,12,0,2,35373,,
1551359847.749651560,192.168.10.104,192.168.10.102,55689,5683,29,3,0,60336,,/floor_1_temp
1551359847.749727768,192.168.10.102,192.168.10.104,5683,55689,12,68,2,60336,,
1551359847.749995676,192.168.10.102,192.168.10.104,35350,5683,12,69,0,56506,,
1551359847.750125729,192.168.10.104,192.168.10.102,5683,35350,12,0,2,56506,,
