frame.time_epoch,ip.src,ip.dst,udp.srcport,udp.dstport,udp.length,coap.code,coap.type,coap.mid,coap.token,coap.opt.uri_path_recon
1551283933.351459780,192.168.10.104,192.168.10.102,5683,35719,12,0,2,11713,,
1551283933.352853294,192.168.10.102,192.168.10.105,45735,5683,12,69,0,1961,,
1551283933.353316405,192.168.10.105,192.168.10.102,5683,45735,12,0,2,1961,,
1551283933.354106500,192.168.10.105,192.168.10.102,56671,5683,37,3,0,24179,,/floor_1_light
1551283933.354236008,192.168.10.102,192.168.10.105,5683,56671,12,68,2,24179,,
1551283934.353222620,192.168.10.102,192.168.10.104,41707,5683,12,69,0,31409,,
1551283934.353722054,192.168.10.104,192.168.10.102,5683,41707,12,0,2,31409,,
1551283934.355800190,192.168.10.102,192.168.10.105,42970,5683,12,69,0,11362,,
1551283934.356193565,192.168.10.105,192.168.10.102,5683,42970,12,0,2,11362,,
1551283935.355640718,192.168.10.102,192.168.10.104,57262,5683,12,69,0,34928,,
1551283935.356107800,192.168.10.104,192.168.10.102,5683,57262,12,0,2,34928,,
1551283935.357997493,192.168.10.102,192.168.10.105,41195,5683,12,69,0,15837,,
1551283935.358479201,192.168.10.105,192.168.10.102,5683,41195,12,0,2,15837,,
1551283936.357969194,192.168.10.102,192.168.10.104,59695,5683,12,69,0,47019,,
1551283936.358423868,192.168.10.104,192.168.10.102,5683,59695,12,0,2,47019,,
1551283936.360265381,192.168.10.102,192.168.10.105,52821,5683,12,69,0,15818,,
1551283936.360738837,192.168.10.105,192.168.10.102,5683,52821,12,0,2,15818,,
1551283937.360281670,192.168.10.102,192.168.10.104,47336,5683,12,69,0,46515,,
1551283937.360766298,192.168.10.104,192.168.10.102,5683,47336,12,0,2,46515,,
1551283937.362554384,192.168.10.102,192.168.10.105,41407,5683,12,69,0,58480,,
1551283937.363013889,192.168.10.105,192.168.10.102,5683,41407,12,0,2,58480,,
1551283937.363853656,192.168.10.105,192.168.10.102,57773,5683,38,3,0,38868,,/floor_1_light
1551283937.364000139,192.168.10.102,192.168.10.105,5683,57773,12,68,2,38868,,
1551283938.362621936,192.168.10.102,192.168.10.104,37732,5683,12,69,0,63181,,
1551283938.363091121,192.168.10.104,192.168.10.102,5683,37732,12,0,2,63181,,
1551283938.365759818,192.168.10.102,192.168.10.105,35611,5683,12,69,0,19470,,
1551283938.366225853,192.168.10.105,192.168.10.102,5683,35611,12,0,2,19470,,
1551283938.366973191,192.168.10.105,192.168.10.102,43328,5683,37,3,0,14988,,/floor_1_light
1551283938.367140514,192.168.10.102,192.168.10.105,5683,43328,12,68,2,14988,,
1551283939.364855870,192.168.10.102,192.168.10.104,39490,5683,12,69,0,58988,,
1551283939.365313448,192.168.10.104,192.168.10.102,5683,39490,12,0,2,58988,,
1551283939.368957534,192.168.10.102,192.168.10.105,50356,5683,12,69,0,59481,,
1551283939.369407371,192.168.10.105,192.168.10.102,5683,50356,12,0,2,59481,,
1551283940.367200859,192.168.10.102,192.168.10.104,50638,5683,12,69,0,42658,,
1551283940.367666023,192.168.10.104,192.168.10.102,5683,50638,12,0,2,42658,,
1551283940.368635443,192.168.10.104,192.168.10.102,43214,5683,29,3,0,19711,,/floor_1_temp
1551283940.368777809,192.168.10.102,192.168.10.104,5683,43214,12,68,2,19711,,
1551283940.369589836,192.168.10.102,192.168.10.105,37843,5683,12,69,0,25851,,
1551283940.370047670,192.168.10.105,192.168.10.102,5683,37843,12,0,2,25851,,
1551283941.369524976,192.168.10.102,192.168.10.104,50125,5683,12,69,0,51165,,
1551283941.370098137,192.168.10.104,192.168.10.102,5683,50125,12,0,2,51165,,
1551283941.371843286,192.168.10.102,192.168.10.105,60319,5683,12,69,0,30070,,
1551283941.372285967,192.168.10.105,192.168.10.102,5683,60319,12,0,2,30070,,
1551283942.371956903,192.168.10.102,192.168.10.104,58553,5683,12,69,0,1139,,
1551283942.372453848,192.168.10.104,192.168.10.102,5683,58553,12,0,2,1139,,
1551283942.374233757,192.168.10.102,192.168.10.105,55284,5683,12,69,0,15714,,
1551283942.374739080,192.168.10.105,192.168.10.102,5683,55284,12,0,2,15714,,
1551283943.374290100,192.168.10.102,192.168.10.104,50864,5683,12,69,0,55505,,
1551283943.374766029,192.168.10.104,192.168.10.102,5683,50864,12,0,2,55505,,
1551283943.375649775,192.168.10.104,192.168.10.102,35782,5683,29,3,0,4641,,/floor_1_temp
1551283943.375878987,192.168.10.102,192.168.10.105,34853,5683,12,69,0,61740,,
1551283943.376391690,192.168.10.105,192.168.10.102,5683,34853,12,0,2,61740,,
1551283943.376596196,192.168.10.102,192.168.10.104,5683,35782,12,68,2,4641,,
1551283943.377199966,192.168.10.105,192.168.10.102,47311,5683,38,3,0,18012,,/floor_1_light
1551283943.377304282,192.168.10.102,192.168.10.105,5683,47311,12,68,2,18012,,
1551283944.376611529,192.168.10.102,192.168.10.104,43880,5683,12,69,0,8638,,
1551283944.377200913,192.168.10.104,192.168.10.102,5683,43880,12,0,2,8638,,
1551283944.379229422,192.168.10.102,192.168.10.105,53346,5683,12,69,0,51821,,
1551283944.379762345,192.168.10.105,192.168.10.102,5683,53346,12,0,2,51821,,
1551283945.379047827,192.168.10.102,192.168.10.104,48623,5683,12,69,0,45961,,
1551283945.379593413,192.168.10.104,192.168.10.102,5683,48623,12,0,2,45961,,
1551283945.381598263,192.168.10.102,192.168.10.105,47255,5683,12,69,0,44803,,
1551283945.382045821,192.168.10.105,192.168.10.102,5683,47255,12,0,2,44803,,
1551283946.381546008,192.168.10.102,192.168.10.104,35445,5683,12,69,0,3680,,
1551283946.382088700,192.168.10.104,192.168.10.102,5683,35445,12,0,2,3680,,
1551283946.383461669,192.168.10.102,192.168.10.105,34440,5683,12,69,0,42780,,
1551283946.383866891,192.168.10.105,192.168.10.102,5683,34440,12,0,2,42780,,
1551283946.384633603,192.168.10.105,192.168.10.102,52774,5683,37,3,0,15179,,/floor_1_light
1551283946.384748289,192.168.10.102,192.168.10.105,5683,52774,12,68,2,15179,,
1551283947.383940238,192.168.10.102,192.168.10.104,43239,5683,12,69,0,59202,,
1551283947.384424230,192.168.10.104,192.168.10.102,5683,43239,12,0,2,59202,,
1551283947.386511229,192.168.10.102,192.168.10.105,60949,5683,12,69,0,26619,,
1551283947.386965036,192.168.10.105,192.168.10.102,5683,60949,12,0,2,26619,,
1551283948.386359612,192.168.10.102,192.168.10.104,60834,5683,12,69,0,11791,,
1551283948.386885835,192.168.10.104,192.168.10.102,5683,60834,12,0,2,11791,,
1551283948.388883925,192.168.10.102,192.168.10.105,41443,5683,12,69,0,28101,,
1551283948.389344302,192.168.10.105,192.168.10.102,5683,41443,12,0,2,28101,,
1551283949.388691208,192.168.10.102,192.168.10.104,46342,5683,12,69,0,30092,,
1551283949.389160823,192.168.10.104,192.168.10.102,5683,46342,12,0,2,30092,,
1551283949.391210338,192.168.10.102,192.168.10.105,36545,5683,12,69,0,20368,,
1551283949.391687715,192.168.10.105,192.168.10.102,5683,36545,12,0,2,20368,,
1551283950.390961764,192.168.10.102,192.168.10.104,47743,5683,12,69,0,17418,,
1551283950.391396829,192.168.10.104,192.168.10.102,5683,47743,12,0,2,17418,,
1551283950.392828914,192.168.10.102,192.168.10.105,43057,5683,12,69,0,25122,,
1551283950.393378480,192.168.10.105,192.168.10.102,5683,43057,12,0,2,25122,,
1551283951.393169096,192.168.10.102,192.168.10.104,58125,5683,12,69,0,25651,,
1551283951.393641080,192.168.10.104,192.168.10.102,5683,58125,12,0,2,25651,,
1551283951.395238915,192.168.10.102,192.168.10.105,37842,5683,12,69,0,60508,,
1551283951.395711805,192.168.10.105,192.168.10.102,5683,37842,12,0,2,60508,,
1551283952.395599861,192.168.10.102,192.168.10.104,57757,5683,12,69,0,49129,,
1551283952.396086045,192.168.10.104,192.168.10.102,5683,57757,12,0,2,49129,,
1551283952.397468964,192.168.10.102,192.168.10.105,45662,5683,12,69,0,35186,,
1551283952.397926883,192.168.10.105,192.168.10.102,5683,45662,12,0,2,35186,,
1551283953.397932176,192.168.10.102,192.168.10.104,46737,5683,12,69,0,30790,,
1551283953.398378853,192.168.10.104,192.168.10.102,50158,5683,29,3,0,4046,,/floor_1_temp
